text,label
"في الواقع، إذا أردنا أن نكون فكرة، ولو تقريبية، عن ضخ رأسمالنا الفكري وطرده، يجب القيام بتحقيق يشمل كامل أرض الوطن، وفي كل الأماكن التي تستخدم فيها كشعار كلمة (ثقافة) أو (ثقافي). وبالطبع، أنا لا أملك الوسيلة، ولا الزمن للقيام بذلك، ولا حتى متسعا من المكان في هذه الأسطر.
ولكن صديقي (النموشي) أشار إلى وسيلة تعطينا فكرة ولو كانت على الأقل جزئية. فهو يشير بالضبط كيف تضع الدخداخيات في الدول الصغيرة (مجساتها التي تشوش على مراكزنا العصبية).
والجامعة، بالطبع، إحدى هذه الوسائل. إذ يمكنك بالتالي أن تعرف أهمية الإضراب في جامعتنا، مؤخرا، والذي انتهى، فعلا، بعودة الأمور إلى طبيعتها، بفضل حكمة طلابنا.",1
"‌سوق البركة 
على طريق (مهنة)، وفي محلة (بومدفع)، يغ سوق يعج بالناس طيلة أيام الأسبوع السبعة.
لا توجد فيه مطاعم شعبية، ولا خيم يضع البقالون تحتها بضائعهم في الهواء الطلق، كما في الأسواق العادية التي تجذب زبائنها المتنوعين مرة واحدة في الأسبوع.
لا. لا يوجد على الطريق، في هذا المكان، سوى سياج من قصب يلاحظ من ورائه بيت من البيوت الريفية المؤلفة من غرفة واحدة أو من غرفتين، والتي تسمى (نوالة).
ولكن، أمام هذا السياج، هناك رتل من السيارات المختلفة أنواعها.
إن الصديق القديم الذي حكا لي هذه الرواية، بعد زيارته لهذا المكان، وكان ذلك منذ عشرة أيام، أحصى فيه يومها حوالي ثلاثين حافلة ومئة وخمسين سيارة خاصة وبالأجرة تقريبا.
الأمر مهم جدا كما ترون.
هذه العربات تجلب زبائن مرضى من كل الأجناس والأعمار، منهم من أتى على عكازتين، ومنهم من كان محمولا على ذراعي أحد من أهله أو على نقالة.
الجميع يأتي طلبا للشفاء. والشخص الذي يمنحهم الشفاء يدعى (الشيخ الأخضر). إنه شاب، ويبدو أنيقا في ثيابه العربية.",1
"إلا أن الشيخ ليس في قليل الذوق حتى يضع تسعيرة للبركة التي يهبها. يضع الناس في كفه المبلغ الذي يشاؤون. ولكن المجموع كبير جدا على ما يبدو.
إن صديقي الذي راقب المشهد بروح المناضل الإصلاحي القديم والمخلص لعهد (بن باديس)، وفي الوقت نفسه بروح التاجر الماهر في تقدير الأشياء، كان قدر دخله في ذاك اليوم بأكثر من خمس مئة ألف فرنك قديم.
إذن ودون أن نكون مبالغين في الأمر، إن الشيخ الأخضر يكسب أكثر بكثير مما يكسبه طبيب حائز على دكتوراة في الطب.
في الواقع، ما يهمني ليس مشكلة مجبر العظام المكسورة. فاستغلال المطببين الدجالين للمرضى مشكلة توجد في كل العصور، وهي متشابهة في كل البلدان. وهي مشكلة تسترعي بالأحرى انتباه الأطباء أو وزارة الصحة.",1
"إن ما يسترعي انتباه عالم الاجتماع هو ذلك الجانب الآخر الذي أوحى في الماضي إلى (زولا) بالتحديد روايته الشهيرة حول كاتدرائية (لورد).
إلا أنني أتكلم عن الموضوع على سجيتي. ففي إحدى مقالاتي السابقة عن (بن باديس) المتصوف، كنت قد بينت أنني لا أضمر بغضا ولا أعطي أحكاما مسبقة حيال معتقدات أو مواقف أجدها جد شريفة.
فضلا عن ذلك،- وأنا أنتهز الفرصة لأقولها هنا- إذا كنت فاجأت أحدا في مقالي، فإنه يتوجب علي أن أطمئنه أنني لم أشوه التاريخ الشخصي لمؤسس في الإصلاح الجزائري. فهو بنفسه أوضح موقفه وبشكل جيد في رسالة تعود إلى سنة ١٩٢٥، حيال الفكر الصوفي الحقيقي، كفكر الجنيد مثلا.",1
"مشكلة الثقافة
لقد افتتحت قسطنطة أسبوعها الثقافي الذي أراد القيمون على تنظيمه أن يكون على أشد ما يمكن من الرونق والبهاء. وأعتقد أنهم قد نجحوا في ذلك.
لقد كاد هذا الاحتفال أن يحتفظ بطابعه المحلي، وهذا الطابع بحد ذاته ذو قيمة كبيرة، لما يتمتع به أهل قسطنطة من ذوق رفيع وتقاليد قديمة غنية. ولكن الرئيس (بومدين) هو الذي دشنه، وهذا أمر يضفي على الاحتفال الطابع القومي.
وعلى هذا المستوى، يجعلنا الاحتفال نفكر عرضا بمسألة الثقافة.
أضف إلى ذلك أن الرئيس ذاته هو الذي عرض علينا هذه المسألة في شكل مشروع، أعلن عنه خلال زيارته لقسطنطة، ويتعلق الأمر بتكوين لجنة في القريب العاجل في الجزائر، تكون مهمتها وضع برنامج إنماء ثقافي على مستوى الوطن.",1
"4 - الاستعارة: حدها، أقسامها، الاستعارة المفيدة وأقسامها، الاستعارة المختلفة الجنس والأنواع، الاستعارة القريبة من الحقيقة، التفرقة بين نوعي الاستعارة في الجنس، وجه الشبه العقلي في الاستعارة، الاستعارة والمبالغة في التشبيه، وقوع الاسم مستعارا بحسب الحس وهو ليس كذلك، بيان أنّ الاستعارة ليست من التخييل، بناء الاستعارة والتخييل على تناسي التشبيه، الفرق بين التشبيه والاستعارة.
ومن جوانب الاستعارة الأخرى التي ذكرها في كتابه دلائل (١) الإعجاز: شرح معنى الاستعارة، الاستعارة التمثيلية، فضل الاستعارة والتمثيل، أمثلة من بديع الاستعارات، المستعار هو معنى اللفظ لا اللفظ نفسه، لا يعار اللفظ إلّا بعد أن يعار المعنى.

5 - الكناية: تكلّم عبد القاهر في كتابه «دلائل (٢) الإعجاز» عن الجوانب التالية من الكناية: الكناية والاستعارة، السبب في قبح الكناية، شعب الكناية وصورها ليس لها حد ولا غاية، في الكناية إثبات يصحبه البرهان، الاستعارة والكناية والمجاز من عمد البلاغة وأركانها.",1
"وفي مقدمة «الكشاف» يقرر أنّ تفسير القرآن لا يكفي فيه أن يكون المفسر من أئمة الفقه، أو النحو، أو اللغة، أو علم الكلام، أو القصص والإخبار. وإنّما ينبغي فيمن يتصدى له أن يكون بارعا في علمين مختصين بالقرآن هما: علم المعاني، وعلم البيان، وهذان، في نظره، أهم عدّة لمن يريد أن يفسر القرآن، إذ بدونهما لا تستقيم له الدلالات، ولا تتضح له الإشارات، ولا لطائف ما في الذكر الحكيم من الجمال المعجز الذي عنت له وجوه العرب وخروا له ساجدين.

إذن فالتفسير عنده ليس قاصرا على معرفة معاني القرآن فحسب، وإنّما هو أيضا بيان لأسرار إعجازه، بل إنّ معرفة معانيه لا تتم إلّا لمن تمّت له آلة البلاغة، وعرف وجوه الأساليب وخصائصها المعنوية، وأدرك الأسباب المعينة على تمييز صور الكلام البيانية.",1
"والذي يدرس بإمعان تفسير «الكشاف» يخرج منه بحقيقتين:

إحداهما أنّه استوعب كل ما كتبه عبد القاهر في «دلائل الإعجاز» و «أسرار البلاغة» قبل أن يشرع في تفسيره. والحقيقة الثانية أنّ «الكشاف» هو في الواقع خير تطبيق على كل ما اهتدى إليه عبد القاهر من قواعد المعاني والبيان، فقد اتّخذ الزمخشري من آي الذكر الحكيم أمثلة وشواهد يوضح بها كل قواعد عبد القاهر البلاغية، سواء ما اتصل منها بعلم المعاني أو علم البيان.

ولم تقف جهود الزمخشري في البلاغة عند حد تطبيق آراء عبد القاهر في تفسيره تطبيقا مستقصيا، ولكنه وصل هذا التطبيق بكثير من آرائه التي تدل على تعمقه، وفطنته في تصوير الدلالة البلاغية، وإحاطته بخواص العبارات والأساليب.",1
"ولو أنّه اكتفى بذلك لكان حسبه مساهمة في تطوير علمي المعاني والبيان، ولكنا نراه يضيف إلى مباحث هذين العلمين ما عنّ له من آراء، ويستكمل كثيرا من شعبها ودقائقها ومقاييسها.

ولما كان بحثنا هنا هو في المحل الأول عن علم البيان، فإنّ الجديد الذي أضافه الزمخشري إلى مباحثه كثير. وتتمثل إضافاته إليه في استكمال صور الكناية والاستعارة والمجاز المرسل والمجاز العقلي، وإحكام وضع قواعدها إحكاما دقيقا. وإذا كان عبد القاهر هو مؤسس علم المعاني وعلم البيان، وهو من استنبط من جزئيات كلا العلمين أكثر قواعده فإنّ الزمخشري هو الذي أكمل قواعدهما، وهي وإن جاءت مفرقة في تضاعيف تفسيره، فإنّها دائما مقرونة بأمثلة من القرآن الكريم توضحها وتكشف عن دقائقها.",1
"فالمطابقة هي بين «اليقظان والنائم»، ونسبتهما إلى التراب على سبيل المجاز. وهذا هو «التكافؤ» عند قدامة وابن أبي الأصبع.
أما المطابقة عند قدامة ومن اتبعه فهي اجتماع المعنيين المختلفين في لفظة واحدة مكررة، كقول زياد الأعجم:ونبئتهم يستنصرون بكاهل … وللؤم فيهم كاهل وسنام",1
"فاللفظة المكررة هنا هي «كاهل» ومعناها في الشطر الأول من البيت «من يعتمد عليه في الملمات، يقال: فلان كاهل بني فلان أي معتمدهم في الملمات وسندهم في المهمات». وهي في الشطر الثاني: مقدّم أعلى الظهر مما يلي العنق.",1
"‌‌أنواع المطابقة:
والمطابقة ثلاثة أنواع:
مطابقة الإيجاب.
مطابقة السلب.
وإيهام التضاد.
١ - فمطابقة الإيجاب: هي ما صرّح فيها بإظهار الضدين، أو هي ما لم يختلف فيه الضدان إيجابا وسلبا.
ومن أمثلتها بالإضافة إلى الأمثلة السابقة للمطابقة التي تأتي بلفظ الحقيقة قوله تعالى: فَأُوْلئِكَ يُبَدِّلُ اللَّهُ سَيِّئاتِهِمْ حَسَناتٍ، وقوله أيضا:
باطِنُهُ فِيهِ الرَّحْمَةُ وَظاهِرُهُ مِنْ قِبَلِهِ الْعَذابُ. 
ومنه أحاديث الرسول: «أفضل الفضائل أن تصل من قطعك، وتعطي من حرمك، وتصفح عمن شتمك» وقال: «أهل المعروف في الدنيا أهل المعروف في الآخرة، وأهل المنكر في الدنيا أهل المنكر في الآخرة».",1
"وقول مسافع:
أبعد بني أمي أسرّ بمقبل … من العيش أو آسى على أثر مدبر؟
أولاك بنو خير وشر كليهما … وأبناء معروف ألّم ومنكر
ومنه من الأقوال المأثورة: «غضب الجاهل في قوله، وغضب العاقل في فعله» و «كدر الجماعة خير من صفو الفرقة».
٢ - ومطابقة السلب: وهي ما لم يصرح فيها بإظهار الضدين، أو هي ما اختلف فيها الضدان إيجابا وسلبا، نحو قوله تعالى: قُلْ هَلْ يَسْتَوِي الَّذِينَ يَعْلَمُونَ وَالَّذِينَ لا يَعْلَمُونَ، فالمطابقة هنا هي في الجمع بين «يعلمون ولا يعلمون» وهي حاصلة بإيجاب العلم ونفيه، لأنهما ضدان.",1
"ومن مطابقة السلب أيضا قول امرئ القيس:
جزعت ولم أجزع من البين مجزعا … وعزّيت قلبي بالكواعب مولعا
فالمطابقة هي في الجمع بين «جزعت ولم أجزع» وهي حاصلة بإيجاب الجزع ونفيه.
ومن المستحسن في ذلك قول بعضهم:
خلقوا وما خلقوا لمكرمة … فكأنهم خلقوا وما خلقوا
رزقوا وما رزقوا سماح يد … فكأنهم رزقوا وما رزقوا",1
"٣ - إيهام التضاد: وهو أن يوهم لفظ الضد أنه ضد مع أنه ليس بضد، كقول الشاعر:
يبدي وشاحا أبيضا من سيبه … والجو قد لبس الوشاح الأغبرا
فإن «الأغبر» ليس بضد «الأبيض» وإنما يوهم بلفظه أنه ضد. ومثله قول دعبل الخزاعي: لا تعجبي يا سلم من رجل … ضحك المشيب برأسه فيكى",1
"فإن «الضحك» هنا من جهة المعنى ليس بضد «البكاء»، لأنه كناية عن كثرة الشيب، ولكنه من جهة اللفظ يوهم المطابقة.
ومنه قول قريط بن أنيف:
يجزون من ظلم أهل الظلم مغفرة … ومن إساءة أهل السوء إحسانا
«فالظلم» ليس بضد «المغفرة» وإنما يوهم بلفظه أنه ضد.",1
"وقول شاعر آخر:
وأخذت أطرار الكلام فلم تدع … شتما يضر ولا مديحا ينفع
فضد المديح هو الهجاء وليس الشتم وإن كان قريبا من معناه، ولهذا فاستعماله ضدا للمديح هو من قبيل إيهام التضاد.",1
